,Bovespa,Dow Jones,Nasdaq,Selic,dolar_Compra,dolar_Venda,high,low,open,volume,close,adjclose,alvo,mdmv7,mdmv21
2007-02-16,45849.0,12767.5703125,2496.31005859375,12.94,2.0905,2.0913,3.9258739948272705,3.6064810752868652,3.65971302986145,1683192,3.6929829120635986,2.805718183517456,3.65971302986145,3.4824305261884416,3.3009657746269587
2007-02-21,46090.0,12738.41015625,2518.419921875,12.94,2.0794,2.0802,3.6929829120635986,3.65971302986145,3.6929829120635986,142770,3.65971302986145,2.780441999435425,3.712944984436035,3.5157006808689664,3.3187098730178106
2007-02-22,46452.0,12686.01953125,2524.93994140625,12.94,2.0758,2.0766,3.712944984436035,3.526632070541382,3.6397509574890137,211901,3.712944984436035,2.8208847045898438,3.5998260974884033,3.5565754004887173,3.343424819764637
2007-02-23,46016.0,12647.48046875,2515.10009765625,12.94,2.086,2.0868,3.657716989517212,3.543267011642456,3.646404981613159,413283,3.5998260974884033,2.7349438667297363,3.625777006149292,3.59602427482605,3.365921724410284
2007-02-26,46207.0,12632.259765625,2504.52001953125,12.93,2.0855,2.0863,3.6530590057373047,3.539940118789673,3.588515043258667,1702729,3.625777006149292,2.7546591758728027,3.5911760330200195,3.6244464261191234,3.3864858150482178
2007-02-27,43145.0,12216.240234375,2407.860107421875,12.93,2.1091,2.1099,3.6530590057373047,3.539940118789673,3.588515043258667,1704231,3.5911760330200195,2.728372573852539,3.39355206489563,3.6479255812508717,3.4054022402990434
2007-02-28,43892.0,12268.6298828125,2416.14990234375,12.93,2.1174,2.1182,3.526632070541382,3.39355206489563,3.39355206489563,1112109,3.39355206489563,2.5782275199890137,3.3602819442749023,3.6108531611306325,3.4190271468389604
2007-03-01,43517.0,12234.33984375,2404.2099609375,12.93,2.1252,2.126,3.4594271183013916,3.261137008666992,3.39288592338562,990378,3.3602819442749023,2.5529518127441406,3.327677011489868,3.563324451446533,3.4301171870458695
2007-03-02,42370.0,12114.099609375,2368.0,12.93,2.1266,2.1274,3.353627920150757,3.2604711055755615,3.29374098777771,1481810,3.327677011489868,2.528179883956909,3.160660982131958,3.515890734536307,3.439654611405872
2007-03-05,41179.0,12050.41015625,2340.679931640625,12.93,2.138,2.1388,3.39355206489563,3.160660982131958,3.2644639015197754,1411176,3.160660982131958,2.4012906551361084,3.2870869636535645,3.436993019921439,3.4352186066763744
